ds,ENTRIES_DIFF,EXITS_DIFF,y
2015-05-07,165741.0,134768.0,300509.0
2015-05-08,162070.0,140579.0,302649.0
2015-05-09,90612.0,74879.0,165491.0
2015-05-10,73559.0,57730.0,131289.0
2015-05-11,164365.0,124432.0,288797.0
2015-05-12,166675.0,129995.0,296670.0
2015-05-13,165913.0,136139.0,302052.0
2015-05-14,170889.0,134881.0,305770.0
2015-05-15,163572.0,137737.0,301309.0
2015-05-16,90995.0,72009.0,163004.0
2015-05-17,77677.0,59955.0,137632.0
2015-05-18,163964.0,130793.0,294757.0
2015-05-19,172892.0,133728.0,306620.0
2015-05-20,171899.0,139250.0,311149.0
2015-05-21,171098.0,140989.0,312087.0
2015-05-22,153472.0,138156.0,291628.0
2015-05-23,83886.0,77395.0,161281.0
2015-05-24,73189.0,65381.0,138570.0
2015-05-25,85577.0,58226.0,143803.0
2015-05-26,167235.0,125655.0,292890.0
2015-05-27,170210.0,136593.0,306803.0
2015-05-28,167220.0,136602.0,303822.0
2015-05-29,168530.0,145131.0,313661.0
2015-05-30,91908.0,74664.0,166572.0
2015-05-31,81504.0,62317.0,143821.0
2015-06-01,166946.0,129719.0,296665.0
2015-06-02,170862.0,138451.0,309313.0
2015-06-03,173110.0,138653.0,311763.0
2015-06-04,175882.0,141487.0,317369.0
2015-06-05,166195.0,142941.0,309136.0
2015-06-06,92930.0,79516.0,172446.0
2015-06-07,83723.0,64655.0,148378.0
2015-06-08,164914.0,126691.0,291605.0
2015-06-09,168475.0,134033.0,302508.0
2015-06-10,169764.0,136251.0,306015.0
2015-06-11,147115.0,118270.0,265385.0
2015-06-12,164469.0,144406.0,308875.0
2015-06-13,110612.0,91735.0,202347.0
2015-06-14,84521.0,64539.0,149060.0
2015-06-15,172502.0,132939.0,305441.0
2015-06-16,171357.0,136328.0,307685.0
2015-06-17,174125.0,138385.0,312510.0
2015-06-18,175225.0,143890.0,319115.0
2015-06-19,161424.0,141768.0,303192.0
2015-06-20,92021.0,85352.0,177373.0
2015-06-21,80773.0,66146.0,146919.0
2015-06-22,173223.0,132197.0,305420.0
2015-06-23,172361.0,136913.0,309274.0
2015-06-24,170778.0,136584.0,307362.0
2015-06-25,170618.0,138312.0,308930.0
2015-06-26,164137.0,139563.0,303700.0
2015-06-27,94110.0,83566.0,177676.0
2015-06-28,95463.0,75337.0,170800.0
2015-06-29,165665.0,135372.0,301037.0
2015-06-30,169219.0,136174.0,305393.0
2015-07-01,166604.0,136428.0,303032.0
2015-07-02,159792.0,141980.0,301772.0
2015-07-03,94147.0,88048.0,182195.0
2015-07-04,65855.0,55922.0,121777.0
